event_month,pet_id,subscription_date,subscription_cancelled_date,pet_type,pet_race,pet_age_at_subscription,total_ttc,total_ht,total_hthc,health_ttc,health_ht,health_hthc,prevention_ttc,prevention_ht,prevention_hthc,health_limit,rate,prevention_limit
2022-11-01,p1014,2022-09-01,,cat,sacr̩ de birmanie,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-05-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-06-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-07-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-08-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-09-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-10-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-11-01,p1015,2022-05-31,,cat,europ̩en,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-03-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-04-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-05-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-06-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-07-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-08-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-09-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-10-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-11-01,p1016,2022-03-11,,cat,bengal,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-01-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-02-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-03-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-04-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-05-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-06-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-07-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-08-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-09-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-10-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-11-01,p1017,2022-01-29,,cat,maine coon,0,35.99,33.02,27.08,28.99,26.6,20.66,7,6.42,6.42,1500,1,100
2022-06-01,p1018,2022-06-16,,cat,bengal,0,39.99,36.69,29.65,32.99,30.27,23.23,7,6.42,6.42,1800,1,100
2022-07-01,p1018,2022-06-16,,cat,bengal,0,39.99,36.69,29.65,32.99,30.27,23.23,7,6.42,6.42,1800,1,100
2022-08-01,p1018,2022-06-16,,cat,bengal,0,39.99,36.69,29.65,32.99,30.27,23.23,7,6.42,6.42,1800,1,100
2022-09-01,p1018,2022-06-16,,cat,bengal,0,39.99,36.69,29.65,32.99,30.27,23.23,7,6.42,6.42,1800,1,100
2022-10-01,p1018,2022-06-16,,cat,bengal,0,39.99,36.69,29.65,32.99,30.27,23.23,7,6.42,6.42,1800,1,100
2022-11-01,p1018,2022-06-16,,cat,bengal,0,39.99,36.69,29.65,32.99,30.27,23.23,7,6.42,6.42,1800,1,100
2022-01-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-02-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-03-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-04-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-05-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-06-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-07-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-08-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-09-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-10-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-11-01,p1019,2022-01-28,,cat,bengal,0,41.99,38.52,31.26,34.99,32.1,24.84,7,6.42,6.42,2000,1,100
2022-07-01,p1020,2022-07-03,,cat,persan,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-08-01,p1020,2022-07-03,,cat,persan,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-09-01,p1020,2022-07-03,,cat,persan,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-10-01,p1020,2022-07-03,,cat,persan,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-11-01,p1020,2022-07-03,,cat,persan,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-08-01,p1021,2022-08-16,,cat,maine coon,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-09-01,p1021,2022-08-16,,cat,maine coon,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-10-01,p1021,2022-08-16,,cat,maine coon,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-11-01,p1021,2022-08-16,,cat,maine coon,2,31.99,29.35,23.43,24.99,22.93,17.01,7,6.42,6.42,1500,0.8,100
2022-04-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-05-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-06-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-07-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-08-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-09-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-10-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-11-01,p1022,2022-04-28,,cat,siamois,2,30.99,28.43,23.19,23.99,22.01,16.77,7,6.42,6.42,1000,1,100
2022-02-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-03-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-04-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-05-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-06-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-07-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-08-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-09-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-10-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-11-01,p1023,2022-02-10,,cat,maine coon,3,27.99,25.68,20.34,20.99,19.26,13.92,7,6.42,6.42,1000,0.8,100
2022-08-01,p1024,2022-08-29,,cat,siamois,6,44.99,41.27,30.09,37.99,34.85,23.67,7,6.42,6.42,1000,1,100
2022-09-01,p1024,2022-08-29,,cat,siamois,6,44.99,41.27,30.09,37.99,34.85,23.67,7,6.42,6.42,1000,1,100
2022-10-01,p1024,2022-08-29,,cat,siamois,6,44.99,41.27,30.09,37.99,34.85,23.67,7,6.42,6.42,1000,1,100
2022-11-01,p1024,2022-08-29,,cat,siamois,6,44.99,41.27,30.09,37.99,34.85,23.67,7,6.42,6.42,1000,1,100
2022-10-01,p1025,2022-10-25,,cat,sacr̩ de birmanie,0,24.15,22.15,18.79,17.15,15.73,12.37,7,6.42,6.42,1000,0.8,100
2022-11-01,p1025,2022-10-25,,cat,sacr̩ de birmanie,0,24.15,22.15,18.79,17.15,15.73,12.37,7,6.42,6.42,1000,0.8,100
2022-07-01,p1026,2022-07-17,,cat,sacr̩ de birmanie,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-08-01,p1026,2022-07-17,,cat,sacr̩ de birmanie,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-09-01,p1026,2022-07-17,,cat,sacr̩ de birmanie,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-10-01,p1026,2022-07-17,,cat,sacr̩ de birmanie,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-11-01,p1026,2022-07-17,,cat,sacr̩ de birmanie,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-08-01,p1027,2022-08-03,,cat,persan,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-09-01,p1027,2022-08-03,,cat,persan,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-10-01,p1027,2022-08-03,,cat,persan,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-11-01,p1027,2022-08-03,,cat,persan,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-04-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-05-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-06-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-07-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-08-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-09-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-10-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-11-01,p1028,2022-04-18,,dog,golden retriever,0,19.99,18.34,15.49,19.99,18.34,15.49,,,,1500,1,
2022-11-01,p103,2022-11-04,,dog,chihuahua,3,17.33,15.9,14.09,10.33,9.48,7.67,7,6.42,6.42,1000,0.7,100
2022-01-01,p1030,2022-01-21,2022-02-07,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-02-01,p1030,2022-01-21,2022-02-07,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-03-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-04-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-05-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-06-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-07-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-08-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-09-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-10-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-11-01,p1031,2022-03-24,,cat,maine coon,0,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-01-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-02-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-03-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-04-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-05-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-06-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-07-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-08-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-09-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-10-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-11-01,p1032,2022-01-05,,cat,bengal,0,19.54,17.93,13.61,19.54,17.93,13.61,,,,1500,0.8,
2022-05-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-06-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-07-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-08-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-09-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-10-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-11-01,p1033,2022-05-17,,cat,maine coon,1,17.99,16.5,12.37,17.99,16.5,12.37,,,,1000,0.8,
2022-01-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-02-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-03-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-04-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-05-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-06-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-07-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-08-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-09-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-10-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-11-01,p1034,2022-01-28,,cat,bengal,1,22.99,21.09,16.01,22.99,21.09,16.01,,,,1500,0.8,
2022-06-01,p1036,2022-06-25,,cat,sacr̩ de birmanie,5,25.99,23.84,17.01,25.99,23.84,17.01,,,,1000,0.8,
