PERMIS;ACV;SEX;STATUT;CSP;USAGE;AGECOND;K8000;RM;CAR;CLA;ALI;ENE;VIT;SEGM;GARAGE;CHARGE
330;10;F;A;50;1;60;O;50;BER;A;CAR;ES;001-130;A;1;0
460;10;F;C;60;1;72;N;50;BER;A;CAR;ES;001-130;B;3;0
622;9;F;A;60;1;72;O;50;BER;A;INJ;ES;150-160;B;3;0
139;9;F;C;50;1;30;O;54;BER;A;CAR;ES;130-140;A;3;0
102;10;F;C;50;2;27;N;100;BER;A;INJ;ES;130-140;A;3;0
230;9;F;C;50;2;37;O;50;BER;A;INJ;ES;130-140;A;3;0
465;10;F;A;1;3;57;N;50;BER;A;CAR;ES;130-140;A;3;0
296;10;F;A;50;2;45;N;60;BER;A;CAR;ES;001-130;0;3;0
132;10;F;C;50;2;29;N;54;BER;A;CAR;ES;130-140;A;3;0
144;10;F;A;50;1;32;O;68;BER;A;CAR;ES;001-130;B;2;0
262;10;F;A;50;3;40;N;50;BER;A;CAR;ES;001-130;0;3;0
162;10;F;A;50;2;31;N;76;BER;A;CAR;ES;130-140;A;3;0
221;2;F;A;50;2;36;O;68;BER;A;CAR;ES;140-150;B;3;0
97;5;F;A;50;2;26;N;95;BER;A;INJ;ES;130-140;A;3;0
209;9;F;A;50;2;37;O;60;BER;A;INJ;ES;130-140;A;3;0
335;10;F;A;55;2;48;N;95;BER;A;CAR;ES;130-140;A;3;0
96;10;F;C;50;2;31;N;68;BER;A;CAR;ES;001-130;B;3;0
12;10;F;C;50;1;25;N;95;BER;A;CAR;ES;130-140;A;1;0
52;10;F;C;50;2;26;N;90;BER;A;INJ;ES;130-140;A;3;0
84;7;F;C;50;3;26;N;90;BER;A;INJ;ES;140-150;B;3;0
460;10;F;A;1;1;56;N;85;BER;A;CAR;ES;140-150;B;3;0
16;10;F;A;50;1;26;N;95;BER;A;CAR;ES;130-140;A;3;0
266;10;F;A;50;1;40;O;64;BER;A;CAR;ES;130-140;0;3;0
412;9;F;A;50;2;52;N;50;BER;A;INJ;ES;130-140;A;3;0
677;10;F;A;60;1;80;O;53;BER;A;CAR;ES;150-160;A;1;0
120;10;F;C;1;1;29;N;95;BER;A;CAR;ES;001-130;0;3;0
19;9;F;C;26;2;20;N;95;BER;A;INJ;ES;130-140;A;3;0
165;10;F;C;50;2;32;N;90;BER;A;CAR;ES;130-140;A;3;0
422;10;F;A;50;1;58;O;69;BER;A;CAR;ES;001-130;B;3;0
439;9;F;A;50;3;60;N;57;BER;A;CAR;ES;130-140;A;3;0
227;10;F;A;50;2;37;N;50;BER;A;INJ;ES;130-140;A;3;0
463;4;F;A;50;2;62;O;50;BER;A;INJ;ES;130-140;A;3;0
121;10;F;C;50;3;29;N;80;BER;A;CAR;ES;001-130;B;3;0
61;7;F;C;50;2;24;N;95;BER;A;INJ;ES;130-140;A;3;0
151;10;F;A;50;2;31;N;51;BER;A;CAR;ES;001-130;0;3;0
118;10;F;A;55;1;30;O;72;BER;A;CAR;ES;001-130;A;2;0
75;10;F;C;42;2;24;N;95;BER;A;CAR;ES;001-130;B;3;0
110;10;F;C;50;2;31;N;72;BER;A;CAR;ES;001-130;B;3;0
506;10;F;A;37;1;60;O;50;BER;A;CAR;ES;001-130;B;3;0
81;10;F;A;50;2;27;N;76;BER;A;CAR;ES;001-130;A;3;164
181;10;F;A;50;2;35;N;50;BER;A;INJ;ES;130-140;A;3;0
448;7;F;A;50;1;62;O;90;BER;A;INJ;ES;130-140;A;3;0
38;10;F;C;26;2;21;N;85;BER;A;CAR;ES;001-130;B;3;0
437;9;F;C;55;1;65;O;50;BER;A;INJ;ES;130-140;A;2;0
224;10;F;A;50;2;37;N;60;BER;A;CAR;ES;001-130;A;3;0
453;1;F;A;60;1;65;N;58;BER;A;CAR;ES;140-150;B;3;2111
73;10;F;C;50;2;24;O;85;BER;A;CAR;ES;001-130;A;3;0
119;9;F;C;50;2;30;N;76;BER;A;INJ;ES;130-140;A;3;0
74;7;F;C;50;2;24;N;72;BER;A;INJ;ES;150-160;B;3;0
196;10;M;C;50;2;37;N;60;BER;A;CAR;ES;001-130;A;3;0
388;10;M;A;1;1;50;N;50;BER;A;CAR;ES;001-130;B;3;0
161;10;M;C;50;1;33;N;118;BER;A;CAR;ES;001-130;B;3;0
367;10;M;C;50;1;49;O;50;BER;A;CAR;ES;130-140;A;3;0
342;7;M;A;42;1;47;N;50;BER;A;INJ;ES;130-140;A;3;0
292;10;M;C;50;2;43;N;50;BER;A;CAR;ES;001-130;0;3;0
378;7;M;A;2;3;49;N;73;BER;A;INJ;ES;150-160;B;3;0
190;10;M;A;50;3;34;N;85;BER;A;CAR;ES;130-140;A;3;0
25;10;M;A;26;2;22;N;90;BER;A;CAR;ES;001-130;B;3;0
112;10;M;A;50;2;27;N;60;BER;A;CAR;ES;001-130;A;3;0
156;10;M;A;50;2;32;N;95;BER;A;INJ;ES;130-140;A;3;0
123;10;M;C;50;1;33;N;95;BER;A;CAR;ES;001-130;B;2;0
141;10;M;A;50;2;30;O;57;BER;A;CAR;ES;001-130;A;3;0
150;9;M;A;50;2;35;O;85;BER;A;INJ;ES;140-150;B;3;0
169;10;M;C;50;2;32;N;90;BER;A;CAR;ES;130-140;B;3;0
401;10;M;A;50;1;52;O;50;BER;A;CAR;ES;001-130;B;1;0
387;9;M;A;50;2;51;N;50;BER;A;INJ;ES;130-140;A;3;0
414;10;M;A;50;1;52;N;90;BER;A;INJ;ES;150-160;B;3;0
440;7;M;A;55;3;55;N;58;BER;A;INJ;ES;130-140;A;3;1093
123;10;M;A;50;2;28;N;57;BER;A;CAR;ES;001-130;B;3;0
294;9;M;A;50;2;50;O;72;BER;A;INJ;ES;130-140;M1;2;0
209;10;M;A;55;2;37;N;50;BER;A;CAR;ES;001-130;0;3;0
73;10;M;C;50;2;34;N;95;BER;A;CAR;ES;001-130;B;3;0
186;10;M;C;50;1;36;O;50;BER;A;CAR;ES;130-140;A;3;0
270;10;M;C;55;2;41;N;54;BER;A;CAR;ES;001-130;B;3;0
149;10;M;A;50;2;50;N;90;BER;A;CAR;ES;130-140;A;3;0
490;10;M;A;50;2;58;O;50;BER;A;CAR;ES;001-130;A;3;0
490;10;M;A;60;1;64;N;50;BER;A;CAR;ES;150-160;0;3;0
604;10;M;A;60;1;76;N;50;BER;A;CAR;ES;160-170;0;3;0
157;10;M;C;50;1;31;O;72;BER;A;CAR;ES;001-130;0;3;0
182;10;M;C;50;2;33;N;95;BER;A;CAR;ES;001-130;A;3;0
333;10;M;C;50;2;48;N;95;BER;A;CAR;ES;001-130;A;3;0
423;10;M;C;50;3;53;N;50;BER;A;CAR;ES;130-140;A;3;0
192;10;M;C;50;2;38;O;54;BER;A;CAR;ES;150-160;A;3;0
196;10;M;A;50;2;34;O;50;BER;A;CAR;ES;001-130;B;3;0
253;10;M;A;50;1;39;O;50;BER;A;CAR;ES;001-130;A;3;0
469;10;M;A;50;2;57;N;50;BER;A;CAR;ES;001-130;B;3;0
573;10;M;A;60;1;65;O;50;BER;A;CAR;ES;150-160;0;3;0
220;10;M;C;1;2;37;N;50;BER;A;CAR;ES;130-140;A;1;0
95;10;M;C;50;2;32;N;85;BER;A;CAR;ES;140-150;B;3;0
343;10;M;A;50;1;47;O;50;BER;A;CAR;ES;001-130;B;3;0
126;10;M;C;50;1;29;N;68;BER;A;CAR;ES;001-130;B;3;0
201;9;M;C;55;1;34;N;85;BER;A;INJ;ES;130-140;A;3;0
214;10;M;A;46;1;49;N;85;BER;A;CAR;ES;001-130;B;3;0
276;10;M;A;50;1;42;N;95;BER;A;CAR;ES;001-130;B;3;0
234;10;M;C;50;2;37;N;68;BER;A;CAR;ES;001-130;B;3;0
441;10;M;A;1;1;54;N;95;BER;A;CAR;ES;001-130;A;3;0
154;9;M;A;50;2;31;N;54;BER;A;INJ;ES;140-150;B;3;0
120;9;M;C;26;2;30;N;57;BER;A;INJ;ES;130-140;A;3;0
296;10;M;A;50;2;45;N;90;BER;A;CAR;ES;001-130;A;3;0
339;10;M;A;50;1;57;O;55;BER;A;CAR;ES;001-130;B;3;0
395;10;M;A;50;1;51;N;60;BER;A;CAR;ES;130-140;B;3;0
364;2;M;A;50;2;48;O;50;BER;A;INJ;ES;130-140;A;3;0
33;10;F;A;50;1;23;N;90;BER;A;CAR;ES;001-130;B;3;0
30;10;F;C;26;2;32;N;118;BER;A;CAR;ES;001-130;A;2;0
514;10;M;A;60;1;70;O;50;BER;A;CAR;ES;001-130;B;3;0
265;10;F;C;50;2;40;N;50;BER;A;CAR;ES;130-140;A;1;0
402;10;F;C;50;2;55;O;50;BER;A;CAR;ES;001-130;0;3;0
462;10;F;A;60;1;63;O;50;BER;A;CAR;ES;001-130;0;3;0
348;9;M;A;50;2;47;N;54;BER;A;INJ;ES;130-140;A;3;0
390;10;M;A;50;1;51;O;50;BER;A;CAR;ES;130-140;A;3;0
183;10;F;A;50;2;35;N;95;BER;B;CAR;ES;140-150;B;3;0
420;7;F;A;50;2;55;O;50;BER;B;INJ;ES;140-150;B;3;0
91;10;F;C;50;2;29;N;95;BER;B;CAR;ES;140-150;B;3;0
338;5;F;C;50;1;51;N;72;BER;B;INJ;ES;150-160;A;3;0
277;10;F;A;50;1;52;N;50;BER;B;CAR;ES;140-150;B;3;0
17;10;F;C;26;2;19;N;95;BER;B;CAR;ES;001-130;B;3;0
518;10;F;A;60;1;61;N;50;BER;B;CAR;ES;001-130;0;3;0
97;10;F;A;37;1;28;N;95;BER;B;CAR;ES;140-150;B;3;0
278;10;M;A;42;3;44;N;60;BER;B;CAR;ES;140-150;B;3;0
48;10;M;C;50;2;28;N;80;BER;B;CAR;ES;001-130;B;3;0
367;10;M;C;50;2;51;N;100;BER;B;CAR;ES;130-140;A;3;0
184;10;M;C;50;2;36;N;50;BER;B;CAR;ES;140-150;B;3;0
623;10;M;A;60;1;70;O;50;BER;B;CAR;ES;130-140;B;3;0
346;10;M;A;50;2;50;N;50;BER;B;CAR;ES;140-150;B;3;0
365;3;F;A;60;1;79;N;50;BER;B;INJ;ES;140-150;A;3;2065
276;10;F;A;55;1;41;N;95;BER;B;CAR;ES;130-140;A;3;0
247;10;F;A;37;1;49;N;68;BER;B;CAR;ES;140-150;A;3;0
220;10;F;A;50;1;41;N;90;BER;B;CAR;ES;001-130;A;3;0
321;10;F;C;50;1;46;O;57;BER;B;CAR;ES;130-140;B;1;0
188;10;F;A;1;1;41;N;50;BER;B;CAR;ES;130-140;A;3;0
189;10;F;C;1;2;36;N;90;BER;B;CAR;ES;140-150;B;3;0
505;5;F;A;60;1;80;N;50;BER;B;INJ;ES;140-150;A;3;0
311;10;F;C;50;2;44;O;50;BER;B;CAR;ES;150-160;B;3;0
155;9;F;A;55;1;33;O;68;BER;B;INJ;ES;140-150;B;3;0
501;10;F;A;60;1;65;O;50;BER;B;CAR;ES;140-150;A;3;0
133;10;F;A;1;1;32;N;72;BER;B;CAR;ES;140-150;A;3;0
250;10;F;A;50;2;39;N;76;BER;B;CAR;ES;130-140;0;3;0
90;10;F;A;50;1;28;N;95;BER;B;CAR;ES;140-150;B;3;0
480;10;F;A;60;1;67;N;50;BER;B;CAR;ES;140-150;0;3;0
232;10;F;C;50;3;38;N;51;BER;B;CAR;ES;130-140;A;3;0
161;10;F;A;50;2;37;N;50;BER;B;CAR;ES;140-150;B;3;0
263;10;F;A;50;2;42;N;50;BER;B;CAR;ES;130-140;B;3;0
322;10;F;A;50;2;53;N;50;BER;B;CAR;ES;130-140;B;3;0
345;10;F;A;50;2;48;N;72;BER;B;CAR;ES;140-150;B;3;0
539;10;F;A;55;1;78;O;50;BER;B;CAR;ES;001-130;B;3;0
14;10;F;C;26;2;21;N;95;BER;B;CAR;ES;150-160;B;3;0
145;10;F;A;50;2;30;O;54;BER;B;CAR;ES;001-130;B;3;0
210;10;F;A;50;2;42;O;72;BER;B;CAR;ES;001-130;A;3;0
144;10;F;A;50;1;34;O;85;BER;B;CAR;ES;140-150;A;3;0
404;10;F;A;50;2;59;N;50;BER;B;CAR;ES;150-160;B;3;0
29;10;F;C;26;2;24;N;90;BER;B;CAR;ES;140-150;B;3;0
97;7;F;C;26;2;27;N;68;BER;B;INJ;ES;140-150;B;3;0
462;10;F;C;60;1;70;N;50;BER;B;CAR;ES;140-150;B;3;0
12;10;F;A;50;2;31;N;95;BER;B;CAR;ES;140-150;B;3;0
187;10;F;A;50;2;35;O;68;BER;B;CAR;ES;140-150;B;3;0
339;4;F;A;50;2;55;N;55;BER;B;INJ;ES;140-150;A;3;0
57;10;F;C;26;2;24;N;95;BER;B;CAR;ES;140-150;B;3;0
73;10;F;C;50;2;26;O;72;BER;B;CAR;ES;130-140;A;3;0
37;10;F;C;50;3;25;N;95;BER;B;CAR;ES;140-150;A;3;0
239;3;F;A;37;1;39;N;50;BER;B;INJ;ES;130-140;A;3;0
112;10;F;A;50;1;32;N;60;BER;B;CAR;ES;001-130;B;3;0
373;10;F;A;50;2;55;N;50;BER;B;CAR;ES;001-130;A;3;0
236;10;F;A;50;1;39;O;57;BER;B;CAR;ES;130-140;B;3;0
90;10;F;A;50;2;29;O;85;BER;B;CAR;ES;140-150;B;3;0
369;10;F;A;50;1;49;N;50;BER;B;CAR;ES;140-150;B;2;0
361;10;F;A;50;1;50;N;50;BER;B;CAR;ES;140-150;B;3;0
224;9;F;A;50;2;53;N;95;BER;B;INJ;ES;140-150;B;3;0
545;9;F;A;50;2;65;N;50;BER;B;INJ;ES;140-150;A;3;0
522;7;F;A;60;1;77;O;50;BER;B;INJ;ES;130-140;A;2;0
132;10;F;C;50;2;29;N;90;BER;B;INJ;ES;140-150;A;3;0
118;1;F;C;50;2;31;N;90;BER;B;INJ;ES;140-150;A;3;0
400;10;F;A;50;1;53;N;50;BER;B;CAR;ES;140-150;B;3;0
162;10;F;C;55;1;55;N;95;BER;B;CAR;ES;140-150;B;2;0
555;10;F;A;37;1;71;N;50;BER;B;CAR;ES;140-150;B;3;0
67;10;F;C;37;1;26;N;95;BER;B;CAR;ES;130-140;B;2;0
461;10;F;A;1;3;61;N;52;BER;B;CAR;ES;130-140;A;3;0
241;5;F;A;55;2;39;N;54;BER;B;INJ;ES;150-160;A;3;0
447;3;F;C;1;2;57;N;50;BER;B;INJ;ES;140-150;A;3;0
277;10;F;A;50;2;41;N;80;BER;B;CAR;ES;001-130;B;3;0
579;10;F;A;60;1;82;N;50;BER;B;CAR;ES;001-130;B;3;0
26;7;F;C;50;2;21;N;95;BER;B;INJ;ES;140-150;B;3;0
85;7;M;C;26;2;27;N;85;BER;B;INJ;ES;130-140;A;3;0
391;10;M;C;50;2;51;O;50;BER;B;CAR;ES;001-130;0;3;0
291;10;M;C;50;2;54;N;106;BER;B;CAR;ES;140-150;B;3;0
74;10;M;C;50;3;26;N;100;BER;B;CAR;ES;140-150;B;3;0
482;10;M;A;50;1;59;O;62;BER;B;CAR;ES;150-160;0;2;0
329;10;M;A;50;2;48;N;55;BER;B;CAR;ES;140-150;B;3;0
98;10;M;C;42;1;28;N;95;BER;B;CAR;ES;140-150;B;3;0
88;10;M;A;50;2;36;N;90;BER;B;CAR;ES;001-130;A;3;0
567;10;M;A;60;1;66;N;50;BER;B;CAR;ES;130-140;B;3;0
119;10;M;C;50;2;28;N;90;BER;B;CAR;ES;130-140;B;2;0
375;10;M;C;60;1;50;N;95;BER;B;CAR;ES;140-150;A;3;0
123;9;M;C;50;2;32;N;76;BER;B;INJ;ES;140-150;B;2;0
215;10;M;A;50;2;46;N;50;BER;B;CAR;ES;140-150;A;3;0
456;10;M;A;50;2;60;N;50;BER;B;CAR;ES;140-150;B;3;0
184;10;M;A;55;2;34;N;95;BER;B;CAR;ES;001-130;B;3;0
376;0;M;C;50;2;54;N;80;BER;B;INJ;ES;140-150;A;3;0
182;10;M;A;48;1;34;O;50;BER;B;CAR;ES;140-150;B;2;0
25;10;M;C;26;2;21;N;90;BER;B;CAR;ES;130-140;A;3;0
173;7;M;A;47;1;34;N;59;BER;B;INJ;ES;140-150;B;2;0
96;10;M;A;48;3;26;N;64;BER;B;CAR;ES;001-130;B;3;0
167;10;M;A;50;2;34;O;50;BER;B;CAR;ES;001-130;A;2;0
84;10;M;A;50;1;27;N;95;BER;B;CAR;ES;140-150;B;3;0
167;10;M;A;50;2;48;O;50;BER;B;CAR;ES;140-150;A;3;0
290;10;M;A;60;1;61;O;54;BER;B;CAR;ES;140-150;B;3;0
142;10;M;C;50;2;30;O;57;BER;B;CAR;ES;130-140;B;3;0
72;10;M;C;50;2;27;N;90;BER;B;CAR;ES;140-150;B;3;0
220;10;M;C;50;2;36;O;50;BER;B;CAR;ES;140-150;B;3;0
155;10;M;C;50;2;33;N;57;BER;B;CAR;ES;150-160;B;3;0
323;10;M;A;50;2;54;O;57;BER;B;CAR;ES;130-140;B;3;0
459;10;M;A;50;2;56;N;58;BER;B;CAR;ES;140-150;B;3;0
421;3;M;A;50;1;57;O;50;BER;B;INJ;ES;140-150;A;3;0
366;10;M;A;55;1;51;N;50;BER;B;CAR;ES;001-130;B;2;0
638;10;M;A;60;1;72;O;50;BER;B;CAR;ES;150-160;0;1;0
93;10;M;C;50;2;28;N;90;BER;B;CAR;ES;140-150;B;3;0
179;10;M;C;50;2;34;N;64;BER;B;CAR;ES;140-150;B;3;0
330;5;M;C;50;1;71;N;50;BER;B;INJ;ES;130-140;A;2;0
333;9;M;C;50;2;46;N;95;BER;B;INJ;ES;140-150;B;3;0
63;10;M;A;50;2;30;N;85;BER;B;CAR;ES;130-140;B;3;0
592;10;M;A;60;1;71;O;50;BER;B;CAR;ES;130-140;A;3;0
154;10;M;C;50;1;31;N;54;BER;B;CAR;ES;001-130;A;1;0
127;10;M;C;50;2;30;N;72;BER;B;CAR;ES;130-140;B;1;0
310;10;M;A;50;2;52;N;50;BER;B;CAR;ES;140-150;B;3;0
497;10;M;A;50;1;72;N;50;BER;B;CAR;ES;140-150;B;2;0
12;10;M;C;26;2;20;N;125;BER;B;CAR;ES;140-150;B;3;0
109;10;M;C;50;2;27;N;85;BER;B;CAR;ES;140-150;B;3;0
292;9;M;A;50;1;43;N;50;BER;B;INJ;ES;130-140;A;3;0
90;9;M;A;50;2;32;N;90;BER;B;INJ;ES;140-150;B;3;0
197;7;M;A;50;2;34;N;54;BER;B;INJ;ES;140-150;B;3;0
281;10;M;A;55;2;42;N;56;BER;B;CAR;ES;001-130;B;3;0
361;10;M;A;60;1;68;O;62;BER;B;CAR;ES;140-150;B;3;0
412;10;F;A;55;2;54;N;90;BER;B;CAR;ES;140-150;B;3;0
139;9;M;A;48;3;32;N;80;BER;B;CAR;ES;130-140;A;3;0
581;9;M;A;60;1;70;O;51;BER;B;CAR;ES;130-140;A;3;0
205;10;M;C;55;1;37;O;50;BER;B;CAR;ES;150-160;B;3;0
556;10;M;A;60;1;65;N;50;BER;B;CAR;ES;130-140;B;3;0
633;10;F;C;55;2;74;N;50;BER;B;CAR;ES;001-130;A;3;0
171;7;F;C;1;3;33;N;100;BER;B;INJ;ES;140-150;B;3;0
263;10;F;A;50;2;47;N;100;BER;B;CAR;ES;140-150;B;3;0
204;10;M;A;50;2;45;N;50;BER;B;CAR;ES;140-150;A;3;0
24;10;F;C;26;2;22;N;90;BER;B;CAR;ES;001-130;A;3;0
327;10;F;A;47;2;45;O;50;BER;B;CAR;ES;130-140;A;3;0
96;10;F;C;26;2;27;N;80;BER;C;CAR;ES;140-150;B;3;0
197;10;F;C;55;2;35;N;95;BER;C;CAR;ES;140-150;B;3;0
351;2;F;C;1;3;48;N;50;BER;C;INJ;ES;140-150;B;3;391
60;10;F;C;26;2;25;N;80;BER;C;CAR;ES;130-140;B;3;0
483;5;F;A;50;2;58;N;50;BER;C;INJ;ES;150-160;A;3;0
184;10;F;A;55;3;33;N;51;BER;C;CAR;ES;140-150;B;3;0
167;4;F;C;42;2;41;N;80;BER;C;INJ;ES;150-160;B;3;0
478;7;F;A;48;3;59;N;50;BER;C;INJ;ES;130-140;A;1;0
152;10;M;C;48;1;31;O;64;BER;C;CAR;ES;140-150;B;3;0
150;10;M;C;50;1;32;N;68;BER;C;CAR;ES;140-150;B;2;0
442;10;M;A;50;2;56;N;50;BER;C;CAR;ES;150-160;B;1;0
552;10;M;A;60;1;74;N;50;BER;C;CAR;ES;150-160;B;3;0
398;10;M;A;50;2;53;N;50;BER;C;CAR;ES;140-150;B;3;0
176;10;M;C;55;2;34;N;80;BER;C;CAR;ES;140-150;B;3;0
444;10;M;A;55;2;57;N;50;BER;C;CAR;ES;001-130;A;3;0
400;10;M;A;50;1;53;N;50;BER;C;CAR;ES;140-150;B;3;0
259;7;M;C;55;2;41;N;72;BER;C;INJ;ES;130-140;M1;3;0
101;10;M;C;50;3;29;N;80;BER;C;CAR;ES;140-150;B;3;0
356;9;M;A;55;1;59;N;54;BER;C;INJ;ES;140-150;M1;3;0
232;10;M;C;50;2;38;N;95;BER;C;CAR;ES;140-150;B;1;0
117;10;F;A;50;1;27;O;76;BER;C;CAR;ES;140-150;B;3;0
160;10;F;A;50;2;33;N;90;BER;C;CAR;ES;140-150;B;3;0
78;10;F;C;50;1;24;N;95;BER;C;CAR;ES;130-140;A;3;0
133;10;F;A;40;2;29;N;54;BER;C;CAR;ES;150-160;B;3;0
129;9;F;C;50;1;29;N;72;BER;C;INJ;ES;150-160;B;3;0
316;10;F;A;50;1;51;O;50;BER;C;CAR;ES;130-140;A;3;0
13;10;F;C;50;1;31;N;95;BER;C;CAR;ES;140-150;B;3;0
128;10;F;A;1;1;32;N;90;BER;C;CAR;ES;130-140;B;3;0
170;10;F;A;50;2;32;O;50;BER;C;CAR;ES;140-150;B;3;0
281;10;F;A;50;1;56;N;50;BER;C;CAR;ES;140-150;B;3;0
563;4;F;A;60;1;67;O;54;BER;C;INJ;ES;150-160;A;3;0
22;10;F;C;42;2;26;N;95;BER;C;CAR;ES;140-150;B;3;0
72;10;F;C;50;2;24;N;80;BER;C;CAR;ES;130-140;0;3;0
390;4;F;A;50;3;52;N;72;BER;C;INJ;ES;150-160;A;3;0
331;9;F;A;37;1;49;O;50;BER;C;INJ;ES;140-150;B;3;0
110;7;F;A;50;2;27;N;80;BER;C;INJ;ES;150-160;B;3;0
228;2;F;C;55;1;37;N;72;BER;C;INJ;ES;150-160;B;1;0
116;9;F;A;50;2;29;N;80;BER;C;INJ;ES;150-160;B;3;0
578;10;F;A;60;1;69;N;50;BER;C;CAR;ES;150-160;B;3;0
103;10;F;C;50;1;26;N;85;BER;C;CAR;ES;140-150;B;3;0
503;10;F;A;60;1;75;O;50;BER;C;CAR;ES;140-150;B;3;0
354;10;F;C;1;2;49;O;50;BER;C;INJ;ES;140-150;B;3;0
108;9;F;C;26;2;27;N;60;BER;C;INJ;ES;140-150;B;3;0
77;9;F;C;50;2;24;N;76;BER;C;INJ;ES;140-150;B;3;0
452;10;F;A;50;2;56;O;51;BER;C;CAR;ES;140-150;B;3;0
456;10;F;A;60;1;66;N;50;BER;C;CAR;ES;140-150;B;3;0
293;10;F;C;50;2;49;O;72;BER;C;CAR;ES;140-150;B;3;0
322;10;F;A;50;1;45;N;50;BER;C;CAR;ES;140-150;B;3;0
416;10;F;A;50;1;56;N;50;BER;C;CAR;ES;140-150;B;3;0
444;9;F;A;50;2;55;N;50;BER;C;INJ;ES;140-150;A;3;0
91;10;F;C;50;2;30;N;90;BER;C;CAR;ES;130-140;B;3;0
110;10;F;C;50;2;29;N;95;BER;C;CAR;ES;140-150;B;3;0
39;9;F;C;50;2;23;N;85;BER;C;INJ;ES;150-160;B;3;0
178;5;F;C;50;1;32;O;59;BER;C;INJ;ES;150-160;A;3;0
124;10;F;C;55;2;29;N;76;BER;C;CAR;ES;150-160;B;3;0
141;9;F;A;50;1;30;N;80;BER;C;INJ;ES;140-150;B;3;0
401;10;F;A;50;1;56;N;95;BER;C;INJ;ES;140-150;B;3;0
286;10;F;A;55;1;45;O;50;BER;C;CAR;ES;140-150;B;3;0
45;10;F;C;26;2;22;N;95;BER;C;CAR;ES;150-160;B;3;0
191;10;F;C;50;1;34;N;76;BER;C;CAR;ES;140-150;B;3;0
122;2;F;C;55;2;29;N;118;BER;C;INJ;ES;150-160;B;3;0
286;10;F;A;1;3;46;N;90;BER;C;CAR;ES;140-150;B;1;0
391;9;F;A;42;2;52;N;50;BER;C;INJ;ES;150-160;B;3;0
25;10;F;A;50;2;24;N;90;BER;C;CAR;ES;130-140;B;3;0
118;10;F;A;50;1;31;N;72;BER;C;CAR;ES;140-150;B;3;0
264;10;F;A;50;1;44;N;50;BER;C;CAR;ES;140-150;B;3;0
244;10;F;A;50;2;53;N;54;BER;C;CAR;ES;140-150;B;3;0
124;9;F;A;50;1;33;O;85;BER;C;INJ;ES;150-160;B;3;0
450;7;F;A;50;1;60;N;50;BER;C;INJ;ES;150-160;B;1;0
631;10;F;A;60;1;73;N;50;BER;C;CAR;ES;140-150;B;3;0
38;10;F;C;26;2;23;N;100;BER;C;CAR;ES;140-150;B;3;0
97;5;F;C;26;2;28;N;95;BER;C;INJ;ES;160-170;B;3;0
171;10;F;C;50;2;35;N;95;BER;C;CAR;ES;130-140;B;3;0
13;10;F;C;50;1;24;N;95;BER;C;CAR;ES;140-150;B;3;0
29;10;F;C;50;2;26;N;90;BER;C;CAR;ES;140-150;B;3;0
115;10;F;C;50;2;28;N;95;BER;C;CAR;ES;140-150;B;3;0
351;10;F;A;48;1;48;N;50;BER;C;CAR;ES;140-150;B;3;0
77;4;F;A;50;2;25;N;76;BER;C;INJ;ES;160-170;B;3;0
